dataset_name,step,optimality,time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
hepatitis,5,Not_Optimal,10.051493871212006,9,4,0.8961038961038961,0.974025974025974,0.7435897435897436,0.7692307692307693
hepatitis,5,Not_Optimal,10.068809270858765,10,4,0.8961038961038961,0.987012987012987,0.7435897435897436,0.8205128205128205
hepatitis,5,Not_Optimal,10.05812703371048,11,4,0.948051948051948,0.987012987012987,0.8205128205128205,0.7948717948717948
hepatitis,5,Not_Optimal,10.051007715861003,12,4,0.8961038961038961,0.974025974025974,0.7435897435897436,0.7948717948717948
hepatitis,5,Not_Optimal,10.093320147196453,13,4,0.948051948051948,0.987012987012987,0.8205128205128205,0.7692307692307693
hepatitis,5,Not_Optimal,10.11432089805603,14,4,0.948051948051948,0.987012987012987,0.8205128205128205,0.7692307692307693
hepatitis,5,Optimal,2.5947314500808716,15,4,0.8961038961038961,1.0,0.7435897435897436,0.7435897435897436
hepatitis,5,Not_Optimal,10.090172068277996,16,4,0.8961038961038961,0.974025974025974,0.7435897435897436,0.7435897435897436
hepatitis,5,Not_Optimal,10.016972196102142,5,4,0.8701298701298701,0.935064935064935,0.7948717948717948,0.8205128205128205
hepatitis,5,Not_Optimal,10.020196104049683,6,4,0.935064935064935,0.948051948051948,0.8205128205128205,0.8205128205128205
hepatitis,5,Not_Optimal,10.027714701493581,7,4,0.935064935064935,0.961038961038961,0.8205128205128205,0.7948717948717948
hepatitis,5,Not_Optimal,10.032491719722747,8,4,0.935064935064935,0.974025974025974,0.8205128205128205,0.8461538461538461
