dataset_name,step,optimality, time_taken,L,K,cart_train,cp_tree_train,cart_test,cp_tree_test
wine,1,Not_Optimal,10.063352958361309,8,3,0.9398496240601504,0.9774436090225563,0.9333333333333333,0.9333333333333333
wine,1,Not_Optimal,10.196494968732198,16,4,0.9849624060150376,0.9699248120300752,0.9555555555555556,0.9111111111111111
spambase,1,Not_Optimal,10.54693234761556,8,3,0.8443478260869566,0.835072463768116,0.8340573414422241,0.8297132927888793
spambase,1,Not_Optimal,13.584301960468292,16,4,0.8498550724637681,0.8266666666666667,0.8392701998262381,0.8132059079061685
biodeg,1,Not_Optimal,10.58877866268158,8,3,0.7951959544879899,0.8230088495575221,0.7424242424242424,0.7878787878787878
biodeg,1,Not_Optimal,15.763168187936147,16,4,0.8128950695322377,0.7560050568900126,0.7689393939393939,0.75
bank_marketing,1,Not_Optimal,19.1335103670756,8,3,0.9028811913240531,0.9035286500485594,0.8980582524271845,0.8980582524271845
credit_approval,1,Not_Optimal,10.260967846711477,8,3,0.8650306748466258,0.8773006134969326,0.8475609756097561,0.8597560975609756
credit_approval,1,Not_Optimal,10.745657829443614,16,4,0.9059304703476483,0.8752556237218814,0.8597560975609756,0.8658536585365854
hepatitis,1,Not_Optimal,10.037762852509816,8,3,0.8793103448275862,0.9051724137931034,0.8461538461538461,0.7692307692307693
hepatitis,1,Not_Optimal,10.143677763144176,16,4,0.9137931034482759,0.9224137931034483,0.8205128205128205,0.8461538461538461
mammographic_masses,1,Not_Optimal,10.116914268334707,8,3,0.8536977491961415,0.8633440514469454,0.8269230769230769,0.8125
mammographic_masses,1,Not_Optimal,10.36088684797287,16,4,0.8633440514469454,0.8617363344051447,0.8173076923076923,0.8173076923076923
post_operative_patient,1,Not_Optimal,10.014038721720377,8,3,0.7846153846153846,0.8461538461538461,0.7272727272727273,0.7272727272727273
post_operative_patient,1,Not_Optimal,10.045863083998363,16,4,0.8,0.8461538461538461,0.5909090909090909,0.6818181818181818
spect_heart,1,Not_Optimal,10.016973392168682,8,3,0.8375,0.8625,0.7005347593582888,0.6042780748663101
spect_heart,1,Not_Optimal,10.091526130835215,16,4,0.8625,0.9,0.732620320855615,0.6524064171122995
thoracy_surgery,1,Not_Optimal,10.100611448287964,8,3,0.8636363636363636,0.8806818181818182,0.8220338983050848,0.8050847457627118
thoracy_surgery,1,Not_Optimal,10.38824457724889,16,4,0.8835227272727273,0.8892045454545454,0.8135593220338984,0.847457627118644
seismic,1,Not_Optimal,10.31262921889623,8,3,0.9344685242518059,0.934984520123839,0.93343653250774,0.93343653250774
seismic,1,Not_Optimal,10.93163360754649,16,4,0.9344685242518059,0.934984520123839,0.93343653250774,0.93343653250774
ionosphere,1,Not_Optimal,10.250527473290761,8,3,0.8631178707224335,0.8973384030418251,0.8409090909090909,0.8863636363636364
ionosphere,1,Not_Optimal,11.345883587996164,16,4,0.8897338403041825,0.9125475285171103,0.875,0.8522727272727273
pima_indian_diabetes,1,Not_Optimal,10.120094152291616,8,3,0.7708333333333334,0.7777777777777778,0.7239583333333334,0.71875
pima_indian_diabetes,1,Not_Optimal,10.340076235930125,16,4,0.78125,0.7881944444444444,0.7239583333333334,0.6875
tic_tac_toe,1,Not_Optimal,10.194444425900777,8,3,0.754874651810585,0.7799442896935933,0.7458333333333333,0.7583333333333333
tic_tac_toe,1,Not_Optimal,10.52040246327718,16,4,0.8231197771587744,0.8008356545961003,0.8291666666666667,0.775
car,1,Not_Optimal,10.257464369138082,8,3,0.8016975308641975,0.8125,0.8171296296296297,0.8078703703703703
car,1,Not_Optimal,10.753521529833476,16,4,0.8016975308641975,0.8001543209876543,0.8171296296296297,0.7962962962962963
balance_scale,1,Not_Optimal,10.077870623270671,8,3,0.7051282051282052,0.7542735042735043,0.6624203821656051,0.6942675159235668
balance_scale,1,Not_Optimal,10.298515975475311,16,4,0.7286324786324786,0.7692307692307693,0.6369426751592356,0.7070063694267515
