depth;lamb;nleaves;trainaccu_CART;testaccu_CART
2;0.1;2.0;0.7852173913043479;0.7862728062554301
3;0.1;2.0;0.7852173913043479;0.7862728062554301
4;0.1;2.0;0.7852173913043479;0.7862728062554301
2;0.05;2.0;0.7852173913043479;0.7862728062554301
3;0.05;2.0;0.7852173913043479;0.7862728062554301
4;0.05;2.0;0.7852173913043479;0.7862728062554301
2;0.025;4.0;0.7852173913043479;0.7862728062554301
3;0.025;4.0;0.7852173913043479;0.7862728062554301
4;0.025;4.0;0.7852173913043479;0.7862728062554301
2;0.01;4.0;0.7852173913043479;0.7862728062554301
3;0.01;5.0;0.8185507246376812;0.8132059079061685
4;0.01;5.0;0.8185507246376812;0.8132059079061685
2;0.005;4.0;0.7852173913043479;0.7862728062554301
3;0.005;7.0;0.835072463768116;0.8297132927888793
4;0.005;7.0;0.835072463768116;0.8297132927888793
2;0.0025;4.0;0.7852173913043479;0.7862728062554301
3;0.0025;7.0;0.835072463768116;0.8297132927888793
4;0.0025;10.0;0.8428985507246377;0.8305821025195482
