depth;lamb;nleaves;trainaccu_CART;testaccu_CART
2;0.1;1.0;0.6532033426183844;0.6541666666666667
3;0.1;1.0;0.6532033426183844;0.6541666666666667
4;0.1;1.0;0.6532033426183844;0.6541666666666667
2;0.05;1.0;0.6532033426183844;0.6541666666666667
3;0.05;1.0;0.6532033426183844;0.6541666666666667
4;0.05;1.0;0.6532033426183844;0.6541666666666667
2;0.025;2.0;0.6866295264623955;0.7375
3;0.025;2.0;0.6866295264623955;0.7375
4;0.025;2.0;0.6866295264623955;0.7375
2;0.01;3.0;0.6866295264623955;0.7375
3;0.01;4.0;0.6866295264623955;0.7375
4;0.01;4.0;0.6866295264623955;0.7375
2;0.005;4.0;0.7047353760445683;0.7083333333333334
3;0.005;8.0;0.754874651810585;0.7458333333333333
4;0.005;13.0;0.8231197771587744;0.8291666666666667
2;0.0025;4.0;0.7047353760445683;0.7083333333333334
3;0.0025;8.0;0.754874651810585;0.7458333333333333
4;0.0025;14.0;0.8272980501392758;0.8416666666666667
