dataset_name,step,lambda,time_taken,K,L,osdt_train,osdt_test
ionosphere,1,0.1,0.0036043922106424966,3,2,0.75,0.7011494252873564
ionosphere,1,0.05,3.5558107137680053,3,4,0.8636363636363636,0.8735632183908046
ionosphere,1,0.01,10.000000282128651,3,4,0.8636363636363636,0.8735632183908046
ionosphere,1,0.005,10.000000234444936,3,5,0.8693181818181819,0.8160919540229885
ionosphere,1,0.0025,10.000000329812368,3,5,0.8693181818181819,0.8160919540229885
ionosphere,1,0.1,0.003573322296142578,3,2,0.75,0.7011494252873564
ionosphere,1,0.05,3.5757653594017027,3,4,0.8636363636363636,0.8735632183908046
ionosphere,1,0.01,10.00000063975652,3,4,0.8636363636363636,0.8735632183908046
ionosphere,1,0.005,10.000000683466594,3,5,0.8693181818181819,0.8160919540229885
ionosphere,1,0.0025,10.000000818570454,3,5,0.8693181818181819,0.8160919540229885
